frame,time_s,in_count,out_count
154,10.27,0,0
155,10.33,0,0
156,10.4,0,0
157,10.47,0,0
158,10.53,0,0
159,10.6,0,0
160,10.67,0,0
161,10.73,0,0
162,10.8,0,0
163,10.87,0,0
164,10.93,0,0
165,11.0,0,0
166,11.07,0,0
167,11.13,0,0
168,11.2,0,0
169,11.27,0,0
170,11.33,0,0
171,11.4,0,0
172,11.47,0,0
173,11.53,0,0
174,11.6,0,0
175,11.67,0,0
176,11.73,0,0
177,11.8,0,0
178,11.87,0,0
179,11.93,0,0
180,12.0,0,0
181,12.07,0,0
182,12.13,0,0
183,12.2,0,0
184,12.27,0,0
185,12.33,0,0
186,12.4,0,0
187,12.47,0,0
188,12.53,0,0
189,12.6,0,0
190,12.67,0,0
191,12.73,0,0
192,12.8,0,0
193,12.87,0,0
194,12.93,0,0
195,13.0,0,0
196,13.07,0,0
197,13.13,0,0
198,13.2,0,0
199,13.27,0,0
200,13.33,0,0
201,13.4,0,0
202,13.47,0,0
203,13.53,0,0
204,13.6,0,0
205,13.67,0,0
206,13.73,0,0
207,13.8,0,0
208,13.87,0,0
209,13.93,0,0
210,14.0,0,0
211,14.07,0,0
212,14.13,0,0
213,14.2,0,0
214,14.27,0,0
215,14.33,0,0
216,14.4,0,0
217,14.47,0,0
218,14.53,0,0
219,14.6,0,0
220,14.67,0,0
221,14.73,0,0
222,14.8,0,0
223,14.87,0,0
224,14.93,0,0
225,15.0,0,0
226,15.07,0,0
227,15.13,0,0
228,15.2,0,0
229,15.27,0,0
230,15.33,0,0
231,15.4,0,0
232,15.47,0,0
233,15.53,0,0
234,15.6,0,0
235,15.67,0,0
236,15.73,0,0
237,15.8,0,0
238,15.87,0,0
239,15.93,0,0
240,16.0,0,0
241,16.07,0,0
242,16.13,0,0
243,16.2,0,0
244,16.27,0,0
245,16.33,0,0
246,16.4,0,0
247,16.47,0,0
248,16.53,0,0
249,16.6,0,0
250,16.67,0,0
251,16.73,0,0
252,16.8,0,0
253,16.87,0,1
254,16.93,0,1
255,17.0,0,1
256,17.07,0,1
257,17.13,0,1
258,17.2,0,1
259,17.27,0,1
260,17.33,0,1
261,17.4,0,1
262,17.47,0,1
263,17.53,0,1
264,17.6,0,1
265,17.67,0,1
266,17.73,0,1
267,17.8,0,1
268,17.87,0,1
269,17.93,0,1
270,18.0,0,1
271,18.07,0,1
272,18.13,0,1
273,18.2,0,1
274,18.27,0,1
275,18.33,0,1
276,18.4,0,1
277,18.47,0,1
278,18.53,0,1
279,18.6,0,1
280,18.67,0,1
281,18.73,0,1
282,18.8,0,1
283,18.87,0,1
284,18.93,0,1
285,19.0,0,1
286,19.07,0,1
287,19.13,0,1
288,19.2,0,1
289,19.27,0,1
290,19.33,0,1
291,19.4,0,1
292,19.47,0,1
293,19.53,0,1
294,19.6,0,1
295,19.67,0,1
296,19.73,0,1
297,19.8,0,1
298,19.87,0,1
299,19.93,0,1
300,20.0,0,1
301,20.07,0,1
302,20.13,0,1
303,20.2,0,1
304,20.27,1,1
305,20.33,1,1
306,20.4,1,1
307,20.47,1,1
308,20.53,1,1
309,20.6,1,1
310,20.67,1,1
311,20.73,1,1
312,20.8,1,1
313,20.87,1,1
314,20.93,1,1
315,21.0,1,1
316,21.07,1,1
317,21.13,1,1
318,21.2,1,1
319,21.27,1,1
320,21.33,1,1
321,21.4,1,1
322,21.47,1,1
323,21.53,1,1
324,21.6,1,1
325,21.67,1,1
326,21.73,1,1
327,21.8,1,1
328,21.87,1,1
329,21.93,1,1
330,22.0,1,1
331,22.07,1,1
332,22.13,1,1
333,22.2,1,1
334,22.27,1,1
335,22.33,1,1
336,22.4,1,1
337,22.47,1,1
338,22.53,1,1
339,22.6,1,1
340,22.67,1,1
341,22.73,1,1
342,22.8,1,1
343,22.87,1,1
344,22.93,1,1
345,23.0,1,1
346,23.07,1,1
347,23.13,1,1
348,23.2,1,1
349,23.27,1,1
350,23.33,1,1
351,23.4,1,1
352,23.47,1,1
353,23.53,1,1
354,23.6,1,1
355,23.67,1,1
356,23.73,1,1
357,23.8,1,1
358,23.87,1,1
359,23.93,1,1
360,24.0,1,1
361,24.07,1,1
362,24.13,1,1
363,24.2,1,1
364,24.27,1,1
365,24.33,1,1
366,24.4,1,1
367,24.47,1,1
368,24.53,1,1
369,24.6,1,1
370,24.67,1,1
371,24.73,1,1
372,24.8,1,1
373,24.87,1,1
374,24.93,1,1
375,25.0,1,1
376,25.07,1,1
377,25.13,1,1
378,25.2,1,1
379,25.27,1,1
380,25.33,1,1
381,25.4,1,1
382,25.47,1,1
383,25.53,1,1
384,25.6,1,1
385,25.67,1,1
386,25.73,1,1
387,25.8,1,1
388,25.87,1,1
389,25.93,1,1
390,26.0,1,1
391,26.07,1,1
392,26.13,1,1
393,26.2,1,1
394,26.27,1,1
395,26.33,1,1
396,26.4,1,1
397,26.47,1,1
398,26.53,1,1
399,26.6,1,1
400,26.67,1,1
401,26.73,1,1
402,26.8,1,1
403,26.87,1,1
404,26.93,1,1
405,27.0,1,1
406,27.07,1,1
407,27.13,1,1
408,27.2,1,1
409,27.27,1,1
410,27.33,1,1
411,27.4,1,1
412,27.47,1,1
413,27.53,1,1
414,27.6,1,1
415,27.67,1,1
416,27.73,1,1
417,27.8,1,1
418,27.87,1,1
419,27.93,1,1
420,28.0,1,1
421,28.07,1,1
422,28.13,1,1
423,28.2,1,1
424,28.27,1,1
425,28.33,1,1
426,28.4,1,1
427,28.47,1,1
428,28.53,1,1
429,28.6,1,1
430,28.67,1,1
431,28.73,1,1
432,28.8,1,1
433,28.87,1,1
434,28.93,1,1
435,29.0,1,1
436,29.07,1,1
437,29.13,1,1
438,29.2,1,1
439,29.27,1,1
440,29.33,1,1
441,29.4,1,1
442,29.47,1,1
443,29.53,1,1
444,29.6,1,1
445,29.67,1,1
446,29.73,1,1
447,29.8,1,1
448,29.87,1,1
449,29.93,1,1
450,30.0,1,1
451,30.07,1,1
452,30.13,1,1
453,30.2,1,1
454,30.27,1,1
455,30.33,1,1
456,30.4,1,1
457,30.47,1,1
458,30.53,1,1
459,30.6,1,1
460,30.67,1,1
461,30.73,1,1
462,30.8,1,1
463,30.87,1,1
464,30.93,1,1
465,31.0,1,1
466,31.07,1,1
467,31.13,1,1
468,31.2,1,1
469,31.27,1,1
470,31.33,1,1
471,31.4,1,1
472,31.47,1,1
473,31.53,1,1
474,31.6,1,1
475,31.67,1,1
476,31.73,1,1
477,31.8,1,1
478,31.87,1,1
479,31.93,1,1
480,32.0,1,1
481,32.07,1,1
482,32.13,1,1
483,32.2,1,1
484,32.27,1,1
485,32.33,1,1
486,32.4,1,1
487,32.47,1,1
488,32.53,1,1
489,32.6,1,1
490,32.67,1,1
491,32.73,1,1
492,32.8,1,1
493,32.87,1,1
494,32.93,1,1
495,33.0,1,1
496,33.07,1,1
497,33.13,1,1
498,33.2,1,1
499,33.27,1,1
500,33.33,1,1
501,33.4,1,1
502,33.47,1,1
503,33.53,1,1
504,33.6,1,1
505,33.67,1,1
506,33.73,1,1
507,33.8,1,1
508,33.87,1,1
509,33.93,1,1
